A85.101+G05.1* A85.100+G05.1*
A85.201+G05.1* A85.200x001+G05.1*
A86xx01 A86.x02
A86xx02 A86.x00
A87.001+G02.0* A87.000x001+G02.0*
A87.002+G02.0* A87.000x002+G02.0*
A87.003+G02.0* A87.000x003+G02.0*
A87.101+G02.0* A87.100+G02.0*
A87.201+G02.0* A87.200
A87.202+G02.0* A87.200x002+G02.0*
A87.901 A87.900
A88.001 A88.000
A88.101+H82* A88.100
A88.801 A88.800x001
A90xx01 A90.x00
A91xx01 A91.x00
A92.101 A92.100
A92.301 A92.300x001
A92.302 A92.300x002
A92.303 A92.300x003
A92.304 A92.300x004
A93.101 A93.100
A93.801 A93.800x001
A95.901 A95.900
A96.001 A96.000
A96.101 A96.100x001
A96.201 A96.200
A98.001 A98.000
A98.401 A98.400
A98.501+N08.0* A98.500x001+N08.0*
B00.001 B00.000
B00.002 B00.001
B00.101 B00.100
B00.102 B00.101
B00.103 B00.102
B00.104 B00.100x004
B00.105 B00.100x005
B00.201 B00.200x001
B00.203 B00.205
B00.204 B00.201
B00.205 B00.202
B00.206 B00.203
B00.301+G02.0* B00.300+G02.0*
B00.401+G05.1* B00.400+G05.1*
